Brownsville,0,25.9017,-97.4975
Corpus Christi,1,27.8006,-97.3964
San Antonio,2,29.4241,-98.4936
Dallas Ft. Worth,3,32.7079,-96.9209
Houston,4,29.7604,-95.3698
Little Rock,5,34.7465,-92.2896
Memphis,6,35.1495,-90.049
Jackson,7,32.2988,-90.1848
Monroe,8,32.5093,-92.1193
Lake Charles,9,30.2266,-93.2174
Baton Rouge,10,30.4515,-91.1871
Int. I10 & I55,11,30.8471,-90.1531
New Orleans,12,29.9511,-90.0715
Biloxi,13,30.396,-88.8853
Mobile,14,30.6954,-88.0399
Birmingham,15,33.5186,-86.8104
Nashville,16,36.1627,-86.7816
Atlanta,17,33.749,-84.388
Columbia,18,34.0007,-81.0348
Charlotte,19,35.2271,-80.8431
Wilmington,20,34.2104,-77.8868
Charleston,21,32.7765,-79.9311
Savannah,22,32.0809,-81.0912
Tallahassee,23,30.4383,-84.2807
Int. I10 & I75,24,30.264735,-82.754105
Jacksonville,25,30.3322,-81.6557
Orlando,26,28.5383,-81.3792
Tampa,27,27.9506,-82.4572
Miami,28,25.7617,-80.1918
Key West,29,24.5551,-81.78
